"id","local_name","unique_name","latitude","longitude","population"
5159,"Padua, Veneto, Italia","padua",45.4064349,11.8767611,209678
76,"Barcelona, Cataluña, España","barcelona",41.3850639,2.1734035,1611822
81,"Basel, Basel-Stadt, Schweiz","basel",47.5934368,7.6198121,
259,"Erlangen, Bayern, Deutschland","erlangen",49.5896744,11.0119611,105412
11979,"Balș, Olt, România","balș",44.3533537,24.0956725,
10314,"Град Пожаревац, Централна Србија, Србија","град-пожаревац",44.61909535,21.1765217697481,
11155,"Bussy-Lettrée, Grand-Est, France","bussy-lettree",48.8046,4.2595,
11788,"Chamonix, Valle d'Aosta, Italia","chamonix-italia",45.817156,6.952375,
11984,"Borger, Texas, United States of America","borger",35.6678203,-101.3973876,
11825,"okres Zvolen, Banskobystrický kraj, Slovensko","okres-zvolen",48.5761806,19.1371155,
11878,"Castellón de la Plana, Comunitat Valenciana, España","castellon-de-la-plana",40.004,-0.0634,
11992,"Castello-Molina di Fiemme, Trentino-Alto Adige, Italia","castello-molina-di-fiemme",46.2818451,11.4371429,
11998,"Craiova, Dolj, România","craiova",44.3301785,23.7948808,
12002,"Filiași, Dolj, România","filiași",44.554523,23.5200088,
12005,"Gare de Lamarche, Grand-Est, France","gare-de-lamarche",48.08998,5.76017,
834,"Tignes Val Claret, Auvergne-Rhône-Alpes, France","tignes-val-claret",45.457331,6.901682,
10339,"Briançon - Serre-Chevalier, Provence-Alpes-Côte d'Azur, France","briancon---serre-chevalier",44.897001,6.634323,
10712,"Aix-la-Chapelle, Nordrhein-Westfalen, Deutschland","aix-la-chapelle",50.785661,6.136859,
5409,"Aarschot, Vlaanderen, Belgique","aarschot",50.986000000000004,4.8365,
5439,"Aime - La Plagne, Auvergne-Rhône-Alpes, France","aime---la-plagne",45.5545,6.6488,
5423,"Agropoli Castellabate, CAM, Italia","agropoli-castellabate",40.3514,15.0019,
5445,"Aix En Provence Gare Routiere, Provence-Alpes-Côte d'Azur, France","aix-en-provence-gare-routiere",43.5249,5.4541,
12014,"Huelva, Andalucía, España","huelva",37.2531,-6.9508,
12015,"Hunedoara, Hunedoara, România","hunedoara",45.7678128,22.9072331,
12016,"Hymont, Grand-Est, France","hymont",48.2657,6.1419,
12017,"Ile de Ré Nouvelle-Aquitaine, France","ile-de-re-nouvelle-aquitaine",46.22894,-1.5413,
12018,"Ile d'Oléron, Nouvelle-Aquitaine, France","ile-doleron",45.94304,-1.30741,
5444,"Aix-en-Provence Centre, Provence-Alpes-Côte d'Azur, France","aix-en-provence-centre",43.5229,5.4453,
9378,"Ahun, Nouvelle-Aquitaine, France","ahun",46.086459999999995,2.04508,
12023,"Jessains, Grand-Est, France","jessains",48.29707,4.57794,
12029,"Knutange, Grand-Est, France","knutange",49.34051,6.03829,
12033,"Labroquère, Occitanie, France","labroquere",43.0387,0.5928,
12035,"Laguian - Mazous, Occitanie, France","laguian---mazous",43.41,0.257,
11989,"Caracal, Olt, România","caracal",44.1157446,24.3424754,
11959,"Svilagnac, Svalignac, Serbia","svilagnac",44.2333,21.1947,
12038,"Lanobre, Auvergne-Rhône-Alpes, France","lanobre",45.4365,2.53469,
12039,"Largentière, Auvergne-Rhône-Alpes, France","largentiere",44.54247,4.29242,
12040,"Larnagol, Occitanie, France","larnagol",44.47588,1.77779,
12041,"Latisana, Friuli-Venezia Giulia, Italia","latisana",45.7778,13.0011,
709,"Roma, Lazio, Italia","roma",41.9027835,12.4963655,2874529
880,"Venezia, Veneto, Italia","venezia",45.4408474,12.3155151,264534
1088,"Genève, Genève, Schweiz","geneve",46.2085189819336,6.14694690704346,
673,"Praha, Praha, Česko","praha",50.0755381,14.4378005,1243201
12151,"Pont Pfimlin, Baden-Württemberg, Deutschland","pont-pfimlin",48.491393,7.769951,
12154,"Saint-Aybert, Hauts-de-France, France","saint-aybert",50.438773,3.668625,
12155,"Sainte Aybert, Wallonie, Belgique","sainte-aybert",50.439398,3.668515,
12156,"Saint Julien en Genevois, Genève, Schweiz","saint-julien-en-genevois-schweiz",46.151967,6.090518,
12162,"Tunnel de la Giraude, Liguria, Italia","tunnel-de-la-giraude",43.788917,7.531606,
12163,"Tunnel routier du Fréjus, Piemonte, Italia","tunnel-routier-du-frejus",45.193623,6.674259,
10711,", , ","-",1.370676,48.731938,
11718,"Преветица, Централна Србија, Србија","преветица",42.9818,21.261,
11719,"Пријепоље, Централна Србија, Србија","пријепоље",43.3879,19.6472,
11721,"Ресавица, Централна Србија, Србија","ресавица",44.0408,21.5816,
11723,"Русе, Русе, България","русе",43.848,25.9542,
11725,"Свилајнац, Централна Србија, Србија","свилајнац",44.2333,21.1947,
11726,"Седларе, Централна Србија, Србија","седларе",44.1985,21.2939,
11732,"Стара Загора, Стара Загора, България","стара-загора",42.4247,25.6257,
11733,"Стрий, Львівська область, Україна","стрий",49.2559,23.8531,
11734,"Струга, Југозападен Регион, Македонија","струга",41.1772,20.6832,
11735,"Суботица, Војводина, Србија","суботица",46.1,19.6641,
11736,"Тернопіль, Тернопільська область, Україна","тернопіль",49.5558,25.5919,
11737,"Тропоње, Централна Србија, Србија","тропоње",44.1621,21.287,
11745,"Централен, Пловдив, България","централен",42.1396,24.7446,
11746,"Чачак, Централна Србија, Србија","чачак",43.8888,20.3447,
11768,"Castelló de la Plana, Comunitat Valenciana, España","castello-de-la-plana",40.004,-0.0634,
11769,"Domat - Ems, Graubünden - Grigioni - Grischun, Schweiz","domat---ems",46.8351,9.4507,
12043,"Lavalette, Occitanie, France","lavalette",43.6377,1.5965,
9382,"Aiton, Auvergne-Rhône-Alpes, France","aiton",45.5603,6.2548,
9388,"Alost, Vlaanderen, Belgique","alost",50.9431,4.0386,
9393,"Ampolla Perello, Cataluña, , España","ampolla-perello",40.8143,0.7146,
10345,"Île d'Oléron - Dolus, Nouvelle-Aquitaine, France","ile-doleron---dolus",45.90918,-1.263293,
10354,"Rouen Métropole, Normandie, France","rouen-metropole",49.342813,1.0352689999999998,
10728,"Avignon - Vedène, Provence-Alpes-Côte d'Azur, France","avignon---vedene",43.979812,4.889464,
6783,"Gros Rederching, Grand-Est, France","gros-rederching",49.0677,7.2177,
4930,"okres Poprad, Prešovský kraj, Slovensko","okres-poprad",49.0589648,20.0799302,
11672,"Ахелой, Поморие, България","ахелой",42.6486,27.6478,
11677,"Бяла, Бяла, България","бяла",42.8766,27.8845,
11986,"Bumbești-Jiu, Gorj, România","bumbești-jiu",45.1776245,23.3856157,
5530,"Antully-les-Baumes, Bourgogne-Franche-Comté, France","antully-les-baumes",46.8942,4.3867,
5533,"Aouste-sur-Sye, Auvergne-Rhône-Alpes, France","aouste-sur-sye",44.71407,5.05649,
1309,"Arenys de Mar, Cataluña, España","arenys-de-mar",41.5797031,2.5491562,
5553,"Argent-sur-Sauldre, Centre-Val de Loire, France","argent-sur-sauldre",47.56119,2.43896,
1432,"Bristol Emersons Green, England, United Kingdom","bristol-emersons-green",51.4948466,-2.4455998,
5972,"Cadiz, Andalucía, España","cadiz",36.52941,-6.28908,122990
6024,"Castellon, Valenciana, España","castellon",39.9861,-0.036000000000000004,
178,"Cecina, Toscana, Italia","cecina",43.313527,10.527882,
9508,"Chambon-sur-Voueize, Nouvelle-Aquitaine, France","chambon-sur-voueize",46.188,2.427,
6098,"Chanteloup-les-Vignes, Île-de-France, France","chanteloup-les-vignes",48.9705,2.0276,
9513,"Charix, Auvergne-Rhône-Alpes, France","charix",46.166940000000004,5.68864,
9516,"Charnay-les-Macon, Bourgogne-Franche-Comté, France","charnay-les-macon",46.3094,4.7851,
12190,"Gerona, Cataluña, España","gerona",41.9839,2.8485,
12182,"A Coruña, Galicia, España","a-coruna",43.3528,-8.4097,
12186,"Lerma, Castilla y León, España","lerma",42.024616,-3.764318,
12192,"Szigetszentmiklós, Közép-Magyarország, Magyarország","szigetszentmiklos",47.3458,19.0409,
1324,"Bačka Topola, Vojvodina, Serbia","backa-topola",45.83296845,19.5950311543255,
1054,"Belluno, Veneto, Italia","belluno",46.1424635,12.2167088,
10214,"Berlin Airport, Brandenburg, Deutschland","berlin-airport",52.3753327,13.5081432513586,
1379,"Bileca, Republika Srpska, Bosna i Hercegovina","bileca",42.9089526,18.4249613,
